日期 最高气温 最低气温 天气 风向 风力
2018-07-01 29 25 小雨 东南风 微风
2018-07-02 31 26 阴 东南风 微风
2018-07-03 31 26 小雨 东风 微风
2018-07-04 32 26 小雨 东南风 微风
2018-07-05 29 25 中雨 东南风 微风
2018-07-06 30 26 小雨 东南风 微风
2018-07-07 28 25 小雨 东风 微风
2018-07-08 33 27 阴 西风 1级
2018-07-09 34 27 多云 东风 1级
2018-07-10 33 27 多云 东南风 微风
2018-07-11 32 27 阴 北风 1级
2018-07-12 33 27 多云 东南风 微风
2018-07-13 35 27 多云 东北风 微风
2018-07-14 34 26 晴 东南风 微风
2018-07-15 33 26 多云 东南风 微风
2018-07-16 34 27 多云 东风 1级
2018-07-17 34 27 多云 东南风 微风
2018-07-18 35 27 多云 东南风 微风
2018-07-19 34 27 晴 东北风 1级
2018-07-20 35 27 阴 东南风 微风
2018-07-21 33 26 小雨 东风 1级
2018-07-22 29 27 大雨 东风 微风
2018-07-23 33 27 阴 东南风 微风
2018-07-24 33 28 小雨 南风 微风
2018-07-25 36 28 小雨 东南风 1级
2018-07-26 37 28 雷阵雨 东南风 微风
2018-07-27 36 27 中雨 东南风 微风
2018-07-28 36 28 雷阵雨 东南风 微风
2018-07-29 36 28 多云 东风 微风
2018-07-30 35 28 多云 东南风 1级
2018-07-31 35 28 多云 东南风 微风
