日期 最高气温 最低气温 天气 风向 风力
2018-08-01 36 27 多云 东南风 2级
2018-08-02 36 27 晴 南风 2级
2018-08-03 36 26 晴 南风 2级
2018-08-04 36 27 晴 南风 1级
2018-08-05 35 25 雷阵雨 东南风 2级
2018-08-06 30 19 阵雨 西北风 1级
2018-08-07 30 24 雷阵雨 南风 微风
2018-08-08 30 24 小雨 东风 2级
2018-08-09 32 24 多云 南风 微风
2018-08-10 33 25 多云 南风 微风
2018-08-11 31 23 雷阵雨 西南风 1级
2018-08-12 30 24 雷阵雨 南风 1级
2018-08-13 30 24 雷阵雨 东南风 1级
2018-08-14 29 24 雷阵雨 北风 2级
2018-08-15 32 24 多云 东风 1级
2018-08-16 31 21 晴 西南风 1级
2018-08-17 31 22 多云 南风 2级
2018-08-18 28 22 小雨 东北风 2级
2018-08-19 28 23 小雨 东风 2级
2018-08-20 32 23 晴 南风 1级
2018-08-21 33 22 多云 西南风 1级
2018-08-22 29 20 雷阵雨 西南风 微风
2018-08-23 31 21 晴 东风 2级
2018-08-24 32 20 多云 西南风 2级
2018-08-25 31 22 多云 西南风 3级
2018-08-26 31 22 多云 西南风 2级
2018-08-27 30 22 阴 南风 2级
2018-08-28 30 22 多云 东北风 1级
2018-08-29 32 20 晴 东南风 2级
2018-08-30 28 20 小雨 南风 1级
2018-08-31 29 19 多云 南风 2级
