日期 最高气温 最低气温 天气 风向 风力
2018-08-01 35 27 小雨 东南风 1级
2018-08-02 32 26 小雨 西风 3级
2018-08-03 32 26 小雨 西南风 2级
2018-08-04 33 26 小雨 西南风 2级
2018-08-05 34 26 多云 西南风 2级
2018-08-06 34 26 多云 南风 1级
2018-08-07 34 26 晴 南风 1级
2018-08-08 34 27 晴 东南风 1级
2018-08-09 32 26 多云 南风 2级
2018-08-10 32 26 多云 南风 1级
2018-08-11 35 26 多云 东南风 1级
2018-08-12 36 26 多云 南风 2级
2018-08-13 35 26 多云 东风 2级
2018-08-14 31 26 中雨 东南风 1级
2018-08-15 30 26 小雨 南风 1级
2018-08-16 31 26 小雨 西南风 2级
2018-08-17 34 26 阴 微风 2级
2018-08-18 33 26 阴 微风 2级
2018-08-19 30 26 中雨 东南风 2级
2018-08-20 30 26 小雨 南风 1级
2018-08-21 32 26 多云 东南风 1级
2018-08-22 31 26 小雨 东风 1级
2018-08-23 33 27 阴 西风 2级
2018-08-24 30 25 中雨 西风 2级
2018-08-25 30 24 小雨 北风 2级
2018-08-26 29 25 小雨 东风 1级
2018-08-27 29 24 中雨 东南风 2级
2018-08-28 28 24 大雨 东南风 2级
2018-08-29 27 22 暴雨 东南风 2级
2018-08-30 26 23 暴雨 东南风 2级
2018-08-31 27 24 中雨 西南风 1级
